TITLE,LINK,DESCRIPTIONS,SPEAKERS,LOCATIONS,TIME
The media's role in reporting wrongful convictions  (Sponsored by Criminal Justice Journalists),http://ire.org/events-and-training/event/975/1299/,"*Moderated by Ted Gest, Criminal Justice Journalists
Some of the most dramatic stories in criminal justice involve wrongful convictions. How should a reporter pursue an allegation of a wrongful conviction? What are the pitfalls? Hear from one reporter who wrote a book about the science behind errors in the courtroom, another who is an expert on the National Registry of Exonerations and a third who has explored the problem of media’s taking the prosecutor’s point of view when faulty cases are filed.*Moderated by Ted Gest, Criminal Justice JournalistsSome of the most dramatic stories in criminal justice involve wrongful convictions. How should a reporter pursue an allegation of a wrongful conviction? What are the pitfalls? Hear from one reporter who wrote a book about the science behind errors in the courtroom, another who is an expert on the National Registry of Exonerations and a third who has explored the problem of media’s taking the prosecutor’s point of view when faulty cases are filed.","Jim Dwyer, Ted Gest, David Krajicek, Maurice Possley",Salon 1-3,2:30 p.m. - 3:30 p.m.
INN: Breakout sessions,http://ire.org/events-and-training/event/975/1501/,"Attendees to elect which breakout to join ahead of time via Jotform 
*Membership for Nonprofit Newsrooms: Scott Lewis & Mary Walter Brown, Voice of San Diego
*Collaborative Opportunities in Data: Denise Malan, INN/IRE
*Impact Metrics & Measurement: Lauren Fuhrmann, Wisconsin Center for Investigative Journalism; Jason Alcorn, InvestigateWest
*Visually Telling True Stories: Opportunities in Film, TV, Cable & Broadband: Kevin Davis, INN; Meyer Schwarzstein & Patty Isthimto; Brainstorm Media
 Attendees to elect which breakout to join ahead of time via Jotform *Membership for Nonprofit Newsrooms: Scott Lewis & Mary Walter Brown, Voice of San Diego*Collaborative Opportunities in Data: Denise Malan, INN/IRE*Impact Metrics & Measurement: Lauren Fuhrmann, Wisconsin Center for Investigative Journalism; Jason Alcorn, InvestigateWest*Visually Telling True Stories: Opportunities in Film, TV, Cable & Broadband: Kevin Davis, INN; Meyer Schwarzstein & Patty Isthimto; Brainstorm Media",TBA,Golden Gate B,3 p.m. - 4:30 p.m.
"Five popular, free tools from Knight Lab and Census Reporter (Sponsored by Knight Foundation)",http://ire.org/events-and-training/event/975/1487/,"Come learn about how to get the most out of Census Reporter and Knight Lab technology (such as TimelineJS, StoryMapJS, SoundciteJS and JuxtaposeJS), as well as find out how to contribute.Come learn about how to get the most out of Census Reporter and Knight Lab technology (such as TimelineJS, StoryMapJS, SoundciteJS and JuxtaposeJS), as well as find out how to contribute.","Joe Germuska, Miranda Mulligan",Nob Hill AB,3:40 p.m. - 4:40 p.m.
The year in investigative reporting,http://ire.org/events-and-training/event/975/1344/,Pick up some story ideas and be inspired with the highlights of some of the year's best investigations.Pick up some story ideas and be inspired with the highlights of some of the year's best investigations.,"Jaimi Dowdell, Megan Luther",Club Room,3:40 p.m. - 4:40 p.m.
Immigration and border issues,http://ire.org/events-and-training/event/975/1484/,"**Moderated by Alfredo Corchado, The Dallas Morning News
Join acclaimed journalist Bob Ortega, Cindy Carcamo and Ana Arana for a provocative discussion about covering thorny immigration and border issues. Topics will include how to collect data from stonewalling officials, develop sources in no-man’s land and how to face the challenges of covering gray areas and nuances at a time of hyper-sensitivities and political piñatas. **Moderated by Alfredo Corchado, The Dallas Morning NewsJoin acclaimed journalist Bob Ortega, Cindy Carcamo and Ana Arana for a provocative discussion about covering thorny immigration and border issues. Topics will include how to collect data from stonewalling officials, develop sources in no-man’s land and how to face the challenges of covering gray areas and nuances at a time of hyper-sensitivities and political piñatas. ","Ana Arana, Bob Ortega, Alfredo Corchado, Cindy Carcamo",Salon 7,3:40 p.m. - 4:40 p.m.
Open records: New challenges to access,http://ire.org/events-and-training/event/975/1358/,"*Moderated by Stephen Zansberg, Colorado Freedom of Information Coalition
Across the nation, government agencies are conducting public business via digital and cloud-based platforms. This panel explores the challenges these technologies pose to obtaining access to public records, including costs associated with obtaining copies, accessing raw data in digitized form, obtaining information from third-party vendors, and the panoply of statutory exemptions that are frequently invoked to withhold information.  The panelists will offer practical tips on how to navigate around and overcome these roadblocks.*Moderated by Stephen Zansberg, Colorado Freedom of Information CoalitionAcross the nation, government agencies are conducting public business via digital and cloud-based platforms. This panel explores the challenges these technologies pose to obtaining access to public records, including costs associated with obtaining copies, accessing raw data in digitized form, obtaining information from third-party vendors, and the panoply of statutory exemptions that are frequently invoked to withhold information.  The panelists will offer practical tips on how to navigate around and overcome these roadblocks.","Jeff Glasser, Ryan Sabalow, Steven Zansberg, Joanna Lin",Salon 10-11,3:40 p.m. - 4:40 p.m.
An app for that: Mobile tech and tools for reporting,http://ire.org/events-and-training/event/975/1320/,"The mobile revolution is upon us, but how can the technology help you as a journalist? Bring your toolbox into the age of smart phones and tablets with this session on apps for gathering and producing news. Record an interview? Transcribe a speech? Archive Tweets? Track an airplane? There's an app for that. Plus learn other mobile tips, tricks and tools to supercharge your reporting.The mobile revolution is upon us, but how can the technology help you as a journalist? Bring your toolbox into the age of smart phones and tablets with this session on apps for gathering and producing news. Record an interview? Transcribe a speech? Archive Tweets? Track an airplane? There's an app for that. Plus learn other mobile tips, tricks and tools to supercharge your reporting.",David Ho,Salon 4-6,3:40 p.m. - 4:40 p.m.
App styling for Web and mobile (Hosted by Caspio),http://ire.org/events-and-training/event/975/1481/,"Learn new tips and tricks for optimizing your Caspio applications for web, tablet and smartphones. Topics covered: Customizing your app's look and feel using the Style Wizard; Creating a smartphone version using the new Mobile Kit; Tips for achieving mobile-optimized and responsive design. 
No previous Caspio experience is necessary. Laptops will be provided. Seating is limited, so pre-registration is highly encouraged for these sessions. 
Register now to reserve your spot.
 Learn new tips and tricks for optimizing your Caspio applications for web, tablet and smartphones. Topics covered: Customizing your app's look and feel using the Style Wizard; Creating a smartphone version using the new Mobile Kit; Tips for achieving mobile-optimized and responsive design. No previous Caspio experience is necessary. Laptops will be provided. Seating is limited, so pre-registration is highly encouraged for these sessions. Register now to reserve your spot. ",Edward Garcia,Nob Hill D,3:40 p.m. - 4:40 p.m.
On the beat: Business (Sponsored by Bloomberg),http://ire.org/events-and-training/event/975/1300/,"*Moderated by Cheryl Phillips, The Seattle Times
Get key strategies from award-winning business reporters. Topics include getting the story in deeds and mortgage documents, using  FOIA with regulators to uncover what’s really happening (case study on fracking) and learning to develop whistleblowers and defend against companies trying to spike a story.*Moderated by Cheryl Phillips, The Seattle TimesGet key strategies from award-winning business reporters. Topics include getting the story in deeds and mortgage documents, using  FOIA with regulators to uncover what’s really happening (case study on fracking) and learning to develop whistleblowers and defend against companies trying to spike a story.","Jeffrey Pohlman, Cheryl Phillips, Jason Dearen, Michael Braga",Salon 1-3,3:40 p.m. - 4:40 p.m.
CompStat USA,http://ire.org/events-and-training/event/975/1378/,CompStat USA started in New York City in the mid-90’s and the CompStat crime-fighting model has been replicated by hundreds of police departments across the country. Ben and Steve will expose the flaws of the data-driven system and how it can be vulnerable to crime manipulation. They'll also provide tips on how to investigate your local department's crime data.CompStat USA started in New York City in the mid-90’s and the CompStat crime-fighting model has been replicated by hundreds of police departments across the country. Ben and Steve will expose the flaws of the data-driven system and how it can be vulnerable to crime manipulation. They'll also provide tips on how to investigate your local department's crime data.,"Ben Poston, Steve Thompson",Salon 12-13,3:40 p.m. - 4:40 p.m.
INN: Free legal resources,http://ire.org/events-and-training/event/975/1502/,"Whether you’ve been shut out of a courtroom, can’t get those documents from a government agency, wonder whether hyperlinking in your blog posts offers any protection from defamation, or are told by a police officer that you can’t shoot still and video images on a public street, the Reporter's Committee for Freedom of the Press has the tools and resources to help you fight back. In this session, legal fellows from the Reporter's Committee will quickly walk you through the myriad free online, mobile and personal-assistance resources available to all working journalists.Whether you’ve been shut out of a courtroom, can’t get those documents from a government agency, wonder whether hyperlinking in your blog posts offers any protection from defamation, or are told by a police officer that you can’t shoot still and video images on a public street, the Reporter's Committee for Freedom of the Press has the tools and resources to help you fight back. In this session, legal fellows from the Reporter's Committee will quickly walk you through the myriad free online, mobile and personal-assistance resources available to all working journalists.","Cindy Gierhart, Emily Grannis, Jaimie Schuman",Golden Gate B,4:45 p.m. - 5 p.m.
Mapping tools (Sponsored by Knight Foundation),http://ire.org/events-and-training/event/975/1416/,"Analyzing data geographically can help reporters uncover issues, tell better stories and visualize. In this session you'll see the power of mapping unleashed. Presenters will explain tools and offer tricks to help you create better maps.Analyzing data geographically can help reporters uncover issues, tell better stories and visualize. In this session you'll see the power of mapping unleashed. Presenters will explain tools and offer tricks to help you create better maps.","Michael Corey, David Herzog",Nob Hill AB,4:50 p.m. - 5:50 p.m.
Investigating natural and environmental disasters,http://ire.org/events-and-training/event/975/1396/,"*Moderated by Susanne Rust, The Center for Investigative Reporting
Mud slides! Oil spills! Chemically contaminated rivers! While all the other reporters are talking to the hysterical neighbor who lost her dog, what should you be focusing on? And where are good places to start looking? Reporters from across the country will provide tips and tell stories about how best to report on these natural and environmental disasters -- all the while keeping an eye on the investigative stories such events are bound to reveal.*Moderated by Susanne Rust, The Center for Investigative ReportingMud slides! Oil spills! Chemically contaminated rivers! While all the other reporters are talking to the hysterical neighbor who lost her dog, what should you be focusing on? And where are good places to start looking? Reporters from across the country will provide tips and tell stories about how best to report on these natural and environmental disasters -- all the while keeping an eye on the investigative stories such events are bound to reveal.","Mike Baker, Alexandra Berzon, Randy Loftis, Susanne Rust",Salon 14-15,4:50 p.m. - 5:50 p.m.
"The art of storytelling: Structure, organization and finding characters",http://ire.org/events-and-training/event/975/1339/,"*Moderated by James Neff, The Seattle Times
You've found the facts and have hard-edged findings. Now what? This panel shows you how to best exploit your materials to craft engaging investigations through appropriate story structure, proper use of characters, clear writing, and effective use of sound and video.*Moderated by James Neff, The Seattle TimesYou've found the facts and have hard-edged findings. Now what? This panel shows you how to best exploit your materials to craft engaging investigations through appropriate story structure, proper use of characters, clear writing, and effective use of sound and video.","Joan McClane, Raquel Rutledge, James Neff, Michael Schiller",Salon 7,4:50 p.m. - 5:50 p.m.
Best of broadcast,http://ire.org/events-and-training/event/975/1343/,"Watch and listen as more than a dozen photographers, editors and producers behind this year's winning entries describe how they did it and what they were really thinking when things got hard.Watch and listen as more than a dozen photographers, editors and producers behind this year's winning entries describe how they did it and what they were really thinking when things got hard.",Tisha Thompson,Club Room,4:50 p.m. - 5:50 p.m.
Investigating Hollywood,http://ire.org/events-and-training/event/975/1301/,"The entertainment industry's multi-billion-dollar annual cultural output deeply affects the lives of consumers across the globe. But its complex machinations are uniquely opaque, even to insiders. Three L.A.-based reporters covering this key local business sector reveal what's at stake, who's in play, why it matters and how they penetrate a hermetic world built on fantasy to reveal its honest truths.
 The entertainment industry's multi-billion-dollar annual cultural output deeply affects the lives of consumers across the globe. But its complex machinations are uniquely opaque, even to insiders. Three L.A.-based reporters covering this key local business sector reveal what's at stake, who's in play, why it matters and how they penetrate a hermetic world built on fantasy to reveal its honest truths. ","Gary Baum, Richard Verrier, Harriet Ryan",Salon 1-3,4:50 p.m. - 5:50 p.m.
Docs!Docs!Docs!,http://ire.org/events-and-training/event/975/1379/,"*Moderated by Tyler Dukes, WRAL-Raleigh
There's a whole world of data journalism beyond numbers, as the NSA files demonstrate! Fortunately there are now good tools for every aspect of document work in journalism. FOIAMachine automates filing and tracking your FOIA requests. DocumentCloud is the standard tool to import, annotate and publish documents. Overview automatically sorts and visualizes thousands or millions of pages in any format for super fast reporting. TabulaPDF is a one-stop solution to extracting tables from PDFs. Come get your document on!*Moderated by Tyler Dukes, WRAL-RaleighThere's a whole world of data journalism beyond numbers, as the NSA files demonstrate! Fortunately there are now good tools for every aspect of document work in journalism. FOIAMachine automates filing and tracking your FOIA requests. DocumentCloud is the standard tool to import, annotate and publish documents. Overview automatically sorts and visualizes thousands or millions of pages in any format for super fast reporting. TabulaPDF is a one-stop solution to extracting tables from PDFs. Come get your document on!","Shane Shifflett, Jonathan Stray, Mike Tigas, Ted Han, Tyler Dukes",Salon 12-13,4:50 p.m. - 5:50 p.m.
"Small newsrooms,big stories: Doing data-driven investigations with limited resources",http://ire.org/events-and-training/event/975/1359/,"*Moderated by Daniel Gilbert, The Wall Street Journal
For the beat reporter at a small news organization, the spreadsheet is your friend. We’ll cover ways to use data in your daily reporting and as a springboard for investigations. But how do you get editors to sign off for a big project while managing your daily obligations? We’ll share our best strategies.*Moderated by Daniel Gilbert, The Wall Street JournalFor the beat reporter at a small news organization, the spreadsheet is your friend. We’ll cover ways to use data in your daily reporting and as a springboard for investigations. But how do you get editors to sign off for a big project while managing your daily obligations? We’ll share our best strategies.","Liam Dillon, Eric Eyre, Kate Martin, Daniel Gilbert",Salon 10-11,4:50 p.m. - 5:50 p.m.
Raising the roof: Investigating housing,http://ire.org/events-and-training/event/975/1316/,"*Moderated by Nancy Amons, WSMV-Nashville
Three journalists whose work demonstrates a deep understanding of housing reveal where to find golden nuggets of fact. From how slumlords grow rich off taxpayers to how banks bury important information in plain sight, this panel will provide solid advice on how-to cut through the clutter to efficiently get to the housing stories audiences will notice.*Moderated by Nancy Amons, WSMV-NashvilleThree journalists whose work demonstrates a deep understanding of housing reveal where to find golden nuggets of fact. From how slumlords grow rich off taxpayers to how banks bury important information in plain sight, this panel will provide solid advice on how-to cut through the clutter to efficiently get to the housing stories audiences will notice.","Kate Berry, Angela Caputo, Michael LaForgia, Nancy Amons",Salon 4-6,4:50 p.m. - 5:50 p.m.
INN: INN & public media: The new and growing alliance,http://ire.org/events-and-training/event/975/1503/,"*Moderated by Brant Houston, University of Illinois
A discussion of the various models that INN members are already working with various public media entities and, more importantly, the strengths and risks in long-term collaboration between INN members and public media.*Moderated by Brant Houston, University of IllinoisA discussion of the various models that INN members are already working with various public media entities and, more importantly, the strengths and risks in long-term collaboration between INN members and public media.","Laura Frank, Jason Alcorn, Brant Houston, Margaret Freivogel, Lorie Hearn, David Weir",Golden Gate B,5 p.m. - 6 p.m.
Welcome reception (Co-sponsored by Esri and KQED Public Radio),http://ire.org/events-and-training/event/975/1454/,"Kick off the conference with a welcome reception on Thursday night beginning at 6 p.m. Meet up with friends you have not seen since last year and welcome new attendees.
Each attendee will receive one drink ticket for beer, wine, soda or bottled water.Kick off the conference with a welcome reception on Thursday night beginning at 6 p.m. Meet up with friends you have not seen since last year and welcome new attendees.Each attendee will receive one drink ticket for beer, wine, soda or bottled water.",TBA,Salon 8,6 p.m. - 7:30 p.m.
IRE Conference Registration (Friday),http://ire.org/events-and-training/event/975/1461/,Registration will be located on lower B2 level of the San Francisco Marriott Marquis.Registration will be located on lower B2 level of the San Francisco Marriott Marquis.,TBA,Lower B2 Level,7:30 a.m. - 6 p.m.
IRE Sales Table (Friday),http://ire.org/events-and-training/event/975/1457/,"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. All proceeds from your purchase help support IRE and its mission.Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. All proceeds from your purchase help support IRE and its mission.",TBA,Lower B2 Level,7:30 a.m. - 6 p.m.
Getting started with Excel,http://ire.org/events-and-training/event/975/1431/,"In this introduction to spreadsheets you'll begin analyzing data with Excel, a simple but powerful tool. You'll learn how to enter data, sort it and conduct simple calculations like average and median. Time allowing, you’ll even learn to create a basic visualization of your data.In this introduction to spreadsheets you'll begin analyzing data with Excel, a simple but powerful tool. You'll learn how to enter data, sort it and conduct simple calculations like average and median. Time allowing, you’ll even learn to create a basic visualization of your data.",David Donald,Nob Hill D,8:50 a.m. - 9:50 a.m.
Investigating human rights in the Americas (Sponsored by Dart Center for Journalism & Trauma and Ochberg Society for Trauma Journalism),http://ire.org/events-and-training/event/975/1360/,"*Moderated by Jeff Kelly Lowenstein, Columbia College Chicago
Join acclaimed journalists Alberto Arce and Alfredo Corchado for an engaging and informative discussion about investigating human rights abuses in the Americas.  Topics will include how to gain access to official and unofficial documents, work sensitively with sources and navigate issues of personal safety in countries where public records are not readily available and reporters face real threats of bodily harm.  The session will have practical tips and plenty of time for audience participation.*Moderated by Jeff Kelly Lowenstein, Columbia College ChicagoJoin acclaimed journalists Alberto Arce and Alfredo Corchado for an engaging and informative discussion about investigating human rights abuses in the Americas.  Topics will include how to gain access to official and unofficial documents, work sensitively with sources and navigate issues of personal safety in countries where public records are not readily available and reporters face real threats of bodily harm.  The session will have practical tips and plenty of time for audience participation.","Alberto Arce, Alfredo Corchado, Jeff Kelly Lowenstein, Richard Marosi",Salon 10-11,8:50 a.m. - 9:50 a.m.
Beyond barriers: How to get the story when you don't know the language & culture (Sponosred by Asian American Journalists Association),http://ire.org/events-and-training/event/975/1322/,"*Moderated by Fernando Diaz, HOY Newspaper
Experts with extensive experience covering ethnic communities here and abroad will share strategies on earning trust, cultivating sources and finding stories despite not knowing the language. Learn how to develop solid strategies for finding stories with impact and thorough reporting while turning possible cultural barriers into opportunities.*Moderated by Fernando Diaz, HOY NewspaperExperts with extensive experience covering ethnic communities here and abroad will share strategies on earning trust, cultivating sources and finding stories despite not knowing the language. Learn how to develop solid strategies for finding stories with impact and thorough reporting while turning possible cultural barriers into opportunities.","Bernice Yeung, Monica Campbell, Fernando Diaz, Matt O'Brien, Vanessa Hua",Salon 4-6,8:50 a.m. - 9:50 a.m.
Broadcast: Management - Picking the stories and staying the course,http://ire.org/events-and-training/event/975/1397/,"*Moderated by Matt Goldberg, NBC Bay Area
News managers will talk about the story selection process, commitment and investment necessary to get results. Discover what it takes to get a project green lit from the network to a local newsroom and how to keep the momentum alive.  *Moderated by Matt Goldberg, NBC Bay AreaNews managers will talk about the story selection process, commitment and investment necessary to get results. Discover what it takes to get a project green lit from the network to a local newsroom and how to keep the momentum alive.  ","Matt Goldberg, Mikel Schaefer, Rhonda Schwartz, Letitia Walker",Golden Gate B,8:50 a.m. - 9:50 a.m.
"The data-driven story: Conceiving, launching and taking it home",http://ire.org/events-and-training/event/975/1333/,"*Moderated by Shawn McIntosh, The Atlanta-Journal Constitution
Turning a kernel of an idea into a killer data-driven story takes more than shoe leather; discipline and structure are required. We’ll provide tips for every step of the process, from nurturing ideas and obtaining data to engaging readers and viewers with sparkling writing and data interactivity. These steps will work in newsrooms small and large, from more routine data-driven stories to the most ambitious projects.*Moderated by Shawn McIntosh, The Atlanta-Journal ConstitutionTurning a kernel of an idea into a killer data-driven story takes more than shoe leather; discipline and structure are required. We’ll provide tips for every step of the process, from nurturing ideas and obtaining data to engaging readers and viewers with sparkling writing and data interactivity. These steps will work in newsrooms small and large, from more routine data-driven stories to the most ambitious projects.","Anthony Cormier, Jaeah Lee, Rob O'Dell, Shawn McIntosh",Salon 7,8:50 a.m. - 9:50 a.m.
The Get: Tracking down newsmakers like Edward Snowden,http://ire.org/events-and-training/event/975/1488/,"Edward Snowden, the systems analyst whose revelations roiled the intelligence community, agreed to sit down with NBC’s Brian Williams for his first U.S .TV interview. The interview would last nearly five hours. Snowden would tell  Williams in great detail why he felt it essential to expose what members of the intelligence community viewed as “the crown jewels.” The two journalists who pursued and landed the interview talk about what it took to make it happen, bumps they ran into along the way and factors journalists should consider when trying to land the big interview.Edward Snowden, the systems analyst whose revelations roiled the intelligence community, agreed to sit down with NBC’s Brian Williams for his first U.S .TV interview. The interview would last nearly five hours. Snowden would tell  Williams in great detail why he felt it essential to expose what members of the intelligence community viewed as “the crown jewels.” The two journalists who pursued and landed the interview talk about what it took to make it happen, bumps they ran into along the way and factors journalists should consider when trying to land the big interview.","Richard Esposito, Matthew Cole",Salon 8,8:50 a.m. - 9:50 a.m.
"Lies, real lies, and fundraising figures (Sponsored by Bloomberg)",http://ire.org/events-and-training/event/975/1380/,The plural of anecdote is not data. Veteran federal and state campaign finance watchers show how to find the information you need and how to properly report fundraising figures as you cut through the candidates' spin and avoid writing stories that aren't supported by the facts.The plural of anecdote is not data. Veteran federal and state campaign finance watchers show how to find the information you need and how to properly report fundraising figures as you cut through the candidates' spin and avoid writing stories that aren't supported by the facts.,"Bill Allison, Edwin Bender, Jonathan Salant",Salon 12-13,8:50 a.m. - 9:50 a.m.
Book 'em: Getting your work published,http://ire.org/events-and-training/event/975/1302/,"*Moderated by Josh Meyer, Medill National Security Journalism Initiative
Book writing is one of the last bastions left of good investigative reporting, especially for those not still working for the large mainstream media outlets, and it’s a great way to make use of all that research you did for your project (and to make some money to boot!). And even though bookstores are closing, there are tons of exciting opportunities on publishing’s digital frontier. These published author/journalists share their best advice, lessons learned and cautionary tales.*Moderated by Josh Meyer, Medill National Security Journalism InitiativeBook writing is one of the last bastions left of good investigative reporting, especially for those not still working for the large mainstream media outlets, and it’s a great way to make use of all that research you did for your project (and to make some money to boot!). And even though bookstores are closing, there are tons of exciting opportunities on publishing’s digital frontier. These published author/journalists share their best advice, lessons learned and cautionary tales.","Jo Becker, Adam Goldman, Miriam Pawel, Josh Meyer",Salon 1-3,8:50 a.m. - 9:50 a.m.
The Investigative SmartGrid (Sponsored by Knight Foundation),http://ire.org/events-and-training/event/975/1417/,"The Investigative SmartGrid is a new, open business model for journalism. Stefan Candea will explain how he developed the model, shortlisted for the 2013 European Press Prize's Innovation Award. In this session you'll see a case study on how three open and collaborative modules were integrated: a media lab, a local investigative journalists group and a regional publication platform. You'll leave the session with ideas on how this business model, which gets away from the typical advertisement-based model, can be replicated, enhanced and implemented by anyone.
 The Investigative SmartGrid is a new, open business model for journalism. Stefan Candea will explain how he developed the model, shortlisted for the 2013 European Press Prize's Innovation Award. In this session you'll see a case study on how three open and collaborative modules were integrated: a media lab, a local investigative journalists group and a regional publication platform. You'll leave the session with ideas on how this business model, which gets away from the typical advertisement-based model, can be replicated, enhanced and implemented by anyone. ",Stefan Candea,Nob Hill AB,8:50 a.m. - 9:50 a.m.
Web scraping for any reporter,http://ire.org/events-and-training/event/975/1428/,Learn to scrape data from websites without having to write any code. Helium Scraper* provides a point-and-click interface for grabbing valuable data locked in web pages. *For PCs only. The software is $99 but attendees will be given a coupon code for 50 percent off that price.Learn to scrape data from websites without having to write any code. Helium Scraper* provides a point-and-click interface for grabbing valuable data locked in web pages. *For PCs only. The software is $99 but attendees will be given a coupon code for 50 percent off that price.,Liz Lucas,Nob Hill C,8:50 a.m. - 9:50 a.m.
Formulas for stories in Excel,http://ire.org/events-and-training/event/975/1432/,"Much of Excel's power comes in the form of formulas. In this class you'll learn how to use them to analyze data with the eye of a journalist. Yes, math will be involved, but it's totally worth it! This class will show you how calculations like change, percent change, rates and ratios can beef up your reporting.Much of Excel's power comes in the form of formulas. In this class you'll learn how to use them to analyze data with the eye of a journalist. Yes, math will be involved, but it's totally worth it! This class will show you how calculations like change, percent change, rates and ratios can beef up your reporting.",Ryann Grochowski Jones,Nob Hill D,10 a.m. - 11 a.m.
The parched west (Sponsored by Society of Environmental Journalists),http://ire.org/events-and-training/event/975/1306/,"*Moderated by Lauren Sommer, KQED Public Radio
Drought. It’s potentially the story-of-the-year in California, as the Golden State takes its turn as a national poster state for dry times. While California is experiencing it’s third dry year in a row Arizona, Nevada and other states in the southwest U.S. have been grappling with a 12-year dry stretch. At this session, leading water journalists, scientists and others will discuss how California and other states are coping with the drought and rethinking water policies.*Moderated by Lauren Sommer, KQED Public RadioDrought. It’s potentially the story-of-the-year in California, as the Golden State takes its turn as a national poster state for dry times. While California is experiencing it’s third dry year in a row Arizona, Nevada and other states in the southwest U.S. have been grappling with a 12-year dry stretch. At this session, leading water journalists, scientists and others will discuss how California and other states are coping with the drought and rethinking water policies.","Andrew Fahlund, Matt Weiser, Lauren Sommer, Peter Gleick",Salon 10-11,10 a.m. - 11 a.m.
The art of storytelling: Toxic pipeline,http://ire.org/events-and-training/event/975/1334/,"As part of our “master class” series, three-time Pulitzer winner Walt Bogdanich will dissect his classic 2007 Toxic Pipeline investigation. These special panels are designed to dig deep into narrative arc, structure and character development. If you plan to attend this panel, please read the story in advance. We’d like attendees to be familiar with the project, which should lead to a more robust discussion of the story-telling choices. Toxic pipelineAs part of our “master class” series, three-time Pulitzer winner Walt Bogdanich will dissect his classic 2007 Toxic Pipeline investigation. These special panels are designed to dig deep into narrative arc, structure and character development. If you plan to attend this panel, please read the story in advance. We’d like attendees to be familiar with the project, which should lead to a more robust discussion of the story-telling choices. Toxic pipeline",Walt Bogdanich,Salon 7,10 a.m. - 11 a.m.
Investigating nonprofits: From bowl games to America's worst charities  (Sponsored by Donald W. Reynolds National Center for Business Journalism),http://ire.org/events-and-training/event/975/1471/,"*Moderated by Kendall Taggart, The Center for Investigative Reporting
This session will highlight red flags reporters can use to find stories within the massive universe of tax-exempt organizations. Speakers will cover the spectrum of nonprofit organizations spanning from small, personal slush funds to large, money-making sports empires to private foundations. They'll guide you through the Form 990 and other untapped documents. You'll leave with at least 10 solid tips for taking on an investigation of your own.*Moderated by Kendall Taggart, The Center for Investigative ReportingThis session will highlight red flags reporters can use to find stories within the massive universe of tax-exempt organizations. Speakers will cover the spectrum of nonprofit organizations spanning from small, personal slush funds to large, money-making sports empires to private foundations. They'll guide you through the Form 990 and other untapped documents. You'll leave with at least 10 solid tips for taking on an investigation of your own.","Craig Harris, Paula Lavigne, Kendall Taggart, Kris Hundley",Salon 12-13,10 a.m. - 11 a.m.
Make dirty data shine with OpenRefine,http://ire.org/events-and-training/event/975/1429/,"Got a big data set that's full of dirty data? OpenRefine to the rescue! In a few easy steps, you'll have polished data in no time. And it's free. OpenRefine is more powerful than a spreadsheet, more interactive and visual than scripting, more provisional/exploratory/experimental/playful than a database. A hands-on workshop. No programming required.Prerequisite: Some spreadsheet familiarity.Got a big data set that's full of dirty data? OpenRefine to the rescue! In a few easy steps, you'll have polished data in no time. And it's free. OpenRefine is more powerful than a spreadsheet, more interactive and visual than scripting, more provisional/exploratory/experimental/playful than a database. A hands-on workshop. No programming required.Prerequisite: Some spreadsheet familiarity.",Garance Burke,Nob Hill C,10 a.m. - 11 a.m.
"Campus coverage: Student loans, debt and aid (Sponsored by the Lumina Foundation)",http://ire.org/events-and-training/event/975/1323/,"*Moderated by Lana Durban Scott, The E.W. Scripps Company
The high cost of a college education has become a hot national issue and a story that can be done locally in communities throughout the country. Learn how to dig into information and data on student debt and related issues to report on the impact in your community.*Moderated by Lana Durban Scott, The E.W. Scripps CompanyThe high cost of a college education has become a hot national issue and a story that can be done locally in communities throughout the country. Learn how to dig into information and data on student debt and related issues to report on the impact in your community.","Lauren Asher, Holly Hacker, Gordon Russell, Lana Durban Scott",Salon 4-6,10 a.m. - 11 a.m.
"Managers track: Bulletproofing stories, anticipating missteps and managing blowback",http://ire.org/events-and-training/event/975/1329/,"*Moderated by Maud Beelman, The Dallas Morning News
The A-to-Z of bulletproofing investigative projects, including anticipating and managing the blowback that the best of them engender. We’ll start at the very beginning -- choosing the right reporter(s) -- and we'll offer tips for ensuring accuracy of fact and tone throughout the investigation. We'll also cover the unique challenges of bulletproofing on multiple platforms, including broadcast.*Moderated by Maud Beelman, The Dallas Morning NewsThe A-to-Z of bulletproofing investigative projects, including anticipating and managing the blowback that the best of them engender. We’ll start at the very beginning -- choosing the right reporter(s) -- and we'll offer tips for ensuring accuracy of fact and tone throughout the investigation. We'll also cover the unique challenges of bulletproofing on multiple platforms, including broadcast.","Patricia DiCarlo, Blake Morrison, Maud Beelman, Mark Schoofs",Salon 1-3,10 a.m. - 11 a.m.
"Breaking the silence: Getting the story when officials, agencies won't talk",http://ire.org/events-and-training/event/975/1324/,"*Moderated by Brian Ross, ABC News
This session will be a question-and-answer style panel that focuses on what you do when you hit major roadblocks while trying to pursue a story and how you get around them. *Moderated by Brian Ross, ABC NewsThis session will be a question-and-answer style panel that focuses on what you do when you hit major roadblocks while trying to pursue a story and how you get around them. ","Kathleen Johnston, Liz Navratil, Brian Ross, Corey Johnson",Salon 8,10 a.m. - 11 a.m.
